NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
FS 116/W/2025;26140;5907653103919;BU£KA TARTA BEZGLUTENOWA 500 g - BALVITEN;1.00;szt;14,57;14,57;5,00;15,30;15,30
FS 116/W/2025;41775;8718754502153;CHIPSY ZIEMNIACZANE O SMAKU SEROWO - CEBULOWYM BI;2.00;szt;6,52;13,04;5,00;6,85;13,69
FS 116/W/2025;10079;5902175866052;CIECIERZYCA W ZALEWIE BIO 350 g(230 g)(S£OIK)BIOPL;3.00;szt;5,85;17,55;5,00;6,14;18,43
FS 116/W/2025;43512;4260491223357;DEZODORANT W KREMIE POLYPOTATO LOVE ME ECO 40;1.00;szt;17,02;17,02;23,00;20,93;20,93
FS 116/W/2025;10216;5902983788928;FASOLKA BIA£A JAŒ BIO 1 kg - BIO PLANET;1.00;szt;19,21;19,21;5,00;20,17;20,17
FS 116/W/2025;4682;5907814668523;GROCH ¯Ó£TY BIO 400 g - BIO PLANET;3.00;szt;5,68;17,04;5,00;5,96;17,89
FS 116/W/2025;2194;5906750254753;GRZYBY BOCZNIAKI ŒWIE¯E BIO (POLSKA) (oko 0,20 kg);2.00;szt;7,55;15,10;5,00;7,93;15,86
FS 116/W/2025;206;5902175861460;GUARANA SPROSZKOWANA BIO 150 g - BIO PLANET;1.00;szt;29,14;29,14;5,00;30,60;30,60
FS 116/W/2025;26941;5902367409968;HUMMUS Z SUSZONYMI POMIDORAMI BIO 185 g - NATURAVE;3.00;szt;5,47;16,41;5,00;5,74;17,23
FS 116/W/2025;5912;253630;IMBIR ŒWIE¯Y BIO (oko³o 0,40 kg);0.406;kg;29,32;11,90;8,00;31,67;12,85
FS 116/W/2025;23527;4101530002826;JOGURT MALINOWY Z KULKAMI CZEKOLADOWYMI BIO 150 g;3.00;szt;4,38;13,14;5,00;4,60;13,80
FS 116/W/2025;6625;5907814665591;KASZA BULGUR BIO 500 g - BIO PLANET;3.00;szt;5,85;17,55;5,00;6,14;18,43
FS 116/W/2025;318;5902983780083;KASZA JÊCZMIENNA BIO 1 kg - BIO PLANET;2.00;szt;8,35;16,70;5,00;8,77;17,54
FS 116/W/2025;2831;5907814665409;KASZA KUSKUS RAZOWY BIO 400 g - BIO PLANET;3.00;szt;5,43;16,29;5,00;5,70;17,10
FS 116/W/2025;9366;5902706270143;KASZA MANNA Z SAMOPSZY BIO 400 g - NIRO;2.00;szt;11,73;23,46;5,00;12,32;24,63
FS 116/W/2025;1092;4019736006169;KETCHUP DLA DZIECI BEZGLUTENOWY BIO 500 ml - ZWERG;2.00;szt;11,11;22,22;8,00;12,00;24,00
FS 116/W/2025;43495;5901680005543;KOZI SER TWAROGOWY PLASTRY 100 g - DANMIS;2.00;szt;6,08;12,16;5,00;6,38;12,77
FS 116/W/2025;6851;5907814668097;MACA SPROSZKOWANA BIO 150 g - BIO PLANET;2.00;szt;9,10;18,20;5,00;9,56;19,11
FS 116/W/2025;13916;703556630775;MAKARON (KONJAC) TAGLIATELLE BEZGLUTENOWY BIO 385;3.00;szt;6,74;20,22;5,00;7,08;21,23
FS 116/W/2025;11762;8034034860080;MARMOLADA Z POMARAÑCZY SYCYLIJSKICH BIO 360 g - AG;1.00;szt;13,61;13,61;5,00;14,29;14,29
FS 116/W/2025;357;5902983782605;M¥KA Z SAMOPSZY PE£NOZ. BIO 500 g- BIO PLANET;3.00;szt;6,18;18,54;5,00;6,49;19,47
FS 116/W/2025;6186;5903453003619;MUFFINKI BABUNI Z JAB£KIEM BIO 200 g - BIO ANIA;2.00;szt;10,59;21,18;5,00;11,12;22,24
FS 116/W/2025;34770;5907714380273;MULTIVITA WIELOOWOCOWA BIO 500 ml - FAIR ORGANIC;2.00;szt;17,85;35,70;5,00;18,74;37,49
FS 116/W/2025;2591;4038375024358;NAPÓJ RY¯OWY BEZ DODATKU CUKRÓW BEZGLU 1L - NATUMI;3.00;szt;6,13;18,39;5,00;6,44;19,31
FS 116/W/2025;8673;9120008993591;NEKTAR JAB£KOWO - WIŒNIOWY BEZ DODATKU CUKRÓW BI;6.00;szt;2,63;15,78;5,00;2,76;16,57
FS 116/W/2025;9114;9120008994888;NEKTAR WIELOOWOCOWY + MARCHEW BEZ DODATKU CUKRÓW (;6.00;szt;2,63;15,78;5,00;2,76;16,57
FS 116/W/2025;5974;5907814661470;OGÓREK D£UGI ŒWIE¯Y BIO (oko³o 0,24 kg);3.00;szt;4,17;12,51;5,00;4,38;13,14
FS 116/W/2025;5884;5907814662583;OPAKOWANIE ZBIORCZE (kg) - CYTRYNY ŒWIE¯E BIO (oko;6.000;kg;7,06;42,36;5,00;7,41;44,48
FS 116/W/2025;15430;5907738154201;OPAKOWANIE ZBIORCZE (kg) - JAB£KA NA SOK ŒWIE¯E BI;5.000;kg;3,42;17,10;5,00;3,59;17,96
FS 116/W/2025;5897;5907814662378;OPAKOWANIE ZBIORCZE (kg) - POMARAÑCZE ŒWIE¯E BIO (;10.000;kg;7,10;71,00;5,00;7,46;74,55
FS 116/W/2025;6037;5907814661883;OPAKOWANIE ZBIORCZE (kg) - POMIDORY NA GA£¥ZCE ŒWI;5.000;kg;12,46;62,30;5,00;13,08;65,42
FS 116/W/2025;376;5902605414082;ORZESZKI ZIEMNE BIO 350 g - BIO PLANET;6.00;szt;8,77;52,62;5,00;9,21;55,25
FS 116/W/2025;5247;8586011381519;PALUSZKI ORKISZOWE PE£N NATURALNE BIO 150 g;5.00;szt;5,82;29,10;5,00;6,11;30,56
FS 116/W/2025;5246;8586011381526;PALUSZKI ORKISZOWE PE£NOZIARNISTE SOLONE g - ENVOY;5.00;szt;5,82;29,10;5,00;6,11;30,56
FS 116/W/2025;15002;5902650274624;PAPRYKA D£UGA ŒWIE¯A BIO (oko³o 0,50 kg);1.00;szt;10,43;10,43;5,00;10,95;10,95
FS 116/W/2025;16459;5906395827565;PARÓWKI Z SZYNKI BIO 150 g - WAS¥G;3.00;szt;6,91;20,73;5,00;7,26;21,77
FS 116/W/2025;7313;5902605418660;PIECZARKI BIA£E ŒWIE¯E BIO (POLSKA) (oko³ 0,25 kg);2.00;szt;6,63;13,26;5,00;6,96;13,92
FS 116/W/2025;3530;5907814661531;P£ATKI ORKISZOWE BIO 300 g - BIO PLANET;6.00;szt;4,01;24,06;5,00;4,21;25,26
FS 116/W/2025;10199;5902488066118;P£ATKI OWSIANE BEZGLUTENOWE BIO 600 g - BIO PLANET;3.00;szt;6,43;19,29;5,00;6,75;20,25
FS 116/W/2025;4483;5907814666024;P£ATKI RY¯OWE BIO 300 g - BIO PLANET;2.00;szt;7,10;14,20;5,00;7,46;14,91
FS 116/W/2025;13672;5904730218573;POPCORN(ZIARNO KUKURYDZY NIEBI) B/G BIO 350-BLUECO;3.00;szt;6,91;20,73;5,00;7,26;21,77
FS 116/W/2025;25255;5906732624383;POWID£A ŒLIWKOWE BEZ DODATKU CUKRÓW 310 g - KROKU;2.00;szt;12,25;24,50;5,00;12,86;25,73
FS 116/W/2025;31349;4820162520453;PRZEK¥SKA ROLL JAB£KO-MALINA B/C B/G 60g- BOBSNAIL;3.00;szt;5,91;17,73;5,00;6,21;18,62
FS 116/W/2025;1950;5902448163109;SA£ATA RZYMSKA MINI ŒWIE¯A BIO (oko³o 0,20 kg);1.00;szt;6,93;6,93;5,00;7,28;7,28
FS 116/W/2025;7996;5907814661999;SELER NACIOWY ŒWIE¯Y BIO (oko³o 0,30 kg);1.00;szt;5,76;5,76;5,00;6,05;6,05
FS 116/W/2025;375;5902983782773;SOCZEWICA CZERWONA BIO 500 g - BIO PLANET;3.00;szt;6,68;20,04;5,00;7,01;21,04
FS 116/W/2025;390;5902605416628;SOJA BIO 1 kg - BIO PLANET;2.00;szt;10,44;20,88;5,00;10,96;21,92
FS 116/W/2025;6865;8718976017916;SOK Z CYTRYN NFC BIO 1 L - HORECA (LA BIO IDEA);2.00;szt;21,39;42,78;5,00;22,46;44,92
FS 116/W/2025;24591;5902596634377;SOK Z MALIN NFC BIO 300 ml - VERO;2.00;szt;10,94;21,88;5,00;11,49;22,97
FS 116/W/2025;26798;5908445470639;SÓL MORSKA GRUBO MIELONA 500 g - NATURAVENA;7.00;szt;1,75;12,25;23,00;2,15;15,07
FS 116/W/2025;10076;5907738156250;SYROP DAKTYLOWY BEZGLUTENOWY BIO 340g - BIO PLANET;2.00;szt;9,85;19,70;8,00;10,64;21,28
FS 116/W/2025;13130;5902488064282;SZPINAK BABY ŒWIE¯Y NIEMYTY BIO (oko³o 0,25 kg);2.00;szt;10,63;21,26;5,00;11,16;22,32
FS 116/W/2025;303;5902175869961;WIÓRKI KOKOSOWE BEZGLUTENOWE BIO 500 g - IO PLANET;2.00;szt;13,07;26,14;5,00;13,72;27,45
FS 116/W/2025;19606;5701410332860;¯EL POD PRYSZNIC 1 L - GRON BALANCE;2.00;szt;12,25;24,50;23,00;15,07;30,14
FS 116/W/2025;18626;5900900003376;¯YWY ZAKWAS Z BURAKÓW BEZGLU BIO 320ml- KOWALEWSKI;6.00;szt;4,77;28,62;5,00;5,01;30,05
